rank_combined,fast_window,mid_window,slow_window,selection_style,final_count,strategy_nav,strategy_return_pct,max_drawdown_pct,target_buy_count,target_holding_days,target_signal_days,target_latest_in_basket,target_pnl_dollar,target_buy_cost,target_sell_proceeds,target_ending_market_value,target_pnl_rank,target_buy_count_rank,target_holding_days_rank,combined_score,latest_basket,notes
92,4,10,20,waterfall,15,1.217193697856227,21.7193697856227,-21.135890405295243,4,33,42,True,19573.834742801497,214155.5929453712,233729.4276881727,0.0,40,121,31,1312.3671676713136,HK.03317|HK.06166|HK.09696|HK.01888|HK.01772|HK.06869|HK.02252|HK.00522|HK.01729|HK.00470,
93,4,10,20,waterfall,20,1.217193697856227,21.7193697856227,-21.135890405295243,4,33,42,True,19573.834742801497,214155.5929453712,233729.4276881727,0.0,40,121,31,1312.3671676713136,HK.03317|HK.06166|HK.09696|HK.01888|HK.01772|HK.06869|HK.02252|HK.00522|HK.01729|HK.00470,
94,4,10,20,dual_objective,10,1.2271092225453752,22.710922254537525,-20.188300955693784,4,33,42,True,19144.816402057564,218252.28176015476,237397.09816221232,0.0,43,121,31,1312.3582139663047,HK.03317|HK.06166|HK.09696|HK.01888|HK.01772|HK.06869|HK.02252|HK.00522|HK.01729|HK.00470,
95,4,10,20,dual_objective,15,1.2271092225453752,22.710922254537525,-20.188300955693784,4,33,42,True,19144.816402057564,218252.28176015476,237397.09816221232,0.0,43,121,31,1312.3582139663047,HK.03317|HK.06166|HK.09696|HK.01888|HK.01772|HK.06869|HK.02252|HK.00522|HK.01729|HK.00470,
96,4,10,20,dual_objective,20,1.2271092225453752,22.710922254537525,-20.188300955693784,4,33,42,True,19144.816402057564,218252.28176015476,237397.09816221232,0.0,43,121,31,1312.3582139663047,HK.03317|HK.06166|HK.09696|HK.01888|HK.01772|HK.06869|HK.02252|HK.00522|HK.01729|HK.00470,
97,5,10,20,dual_objective,10,1.1689741993494196,16.897419934941958,-16.970490101056946,4,34,44,False,17363.393850256893,206254.1177967166,223617.5116469735,0.0,49,121,28,1287.390287249951,HK.06166|HK.09696|HK.01888|HK.02252|HK.00522|HK.01729|HK.00470|HK.01877|HK.01548|HK.03696,
98,5,10,20,dual_objective,15,1.1689741993494196,16.897419934941958,-16.970490101056946,4,34,44,False,17363.393850256893,206254.1177967166,223617.5116469735,0.0,49,121,28,1287.390287249951,HK.06166|HK.09696|HK.01888|HK.02252|HK.00522|HK.01729|HK.00470|HK.01877|HK.01548|HK.03696,
99,5,10,20,dual_objective,20,1.1689741993494196,16.897419934941958,-16.970490101056946,4,34,44,False,17363.393850256893,206254.1177967166,223617.5116469735,0.0,49,121,28,1287.390287249951,HK.06166|HK.09696|HK.01888|HK.02252|HK.00522|HK.01729|HK.00470|HK.01877|HK.01548|HK.03696,
100,2,8,20,er_over_vol,10,1.2521999820897043,25.21999820897043,-17.457062817263136,7,21,25,False,478.9680162948789,406261.22430840204,406740.1923246969,0.0,136,31,112,1206.3369911482096,HK.02252|HK.01288|HK.00522|HK.01888|HK.03618|HK.03988|HK.01548|HK.00470|HK.06166|HK.00998,
101,2,8,20,er_over_vol,15,1.2521999820897043,25.21999820897043,-17.457062817263136,7,21,25,False,478.9680162948789,406261.22430840204,406740.1923246969,0.0,136,31,112,1206.3369911482096,HK.02252|HK.01288|HK.00522|HK.01888|HK.03618|HK.03988|HK.01548|HK.00470|HK.06166|HK.00998,
